filename,max_confidence,waste_objects_detected
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002865_heading324.27_pitch-0.51_right90_square_fov90.0_640x640.jpg,0.27719372510910034,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002885_heading25.67_pitch-1.97_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002943_heading28.95_pitch-0.18_right90_square_fov90.0_640x640.jpg,0.3224766254425049,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002963_heading37.33_pitch-1.60_right90_square_fov90.0_640x640.jpg,0.36278557777404785,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002989_heading43.34_pitch-0.07_right90_square_fov90.0_640x640.jpg,0.27144744992256165,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002995_heading41.92_pitch-0.15_right90_square_fov90.0_640x640.jpg,0.3225446045398712,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003007_heading42.45_pitch-0.28_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003009_heading42.20_pitch-0.11_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003081_heading53.67_pitch0.12_right90_square_fov90.0_640x640.jpg,0.35055404901504517,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003099_heading354.89_pitch0.01_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003101_heading353.62_pitch-0.17_right90_square_fov90.0_640x640.jpg,0.28122761845588684,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003147_heading96.86_pitch0.56_right90_square_fov90.0_640x640.jpg,0.29627424478530884,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003227_heading84.40_pitch-0.04_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003271_heading223.30_pitch2.24_right90_square_fov90.0_640x640.jpg,0.3323596119880676,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003275_heading221.24_pitch1.82_right90_square_fov90.0_640x640.jpg,0.32631590962409973,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003287_heading222.01_pitch-0.63_right90_square_fov90.0_640x640.jpg,0.3245059549808502,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003321_heading228.38_pitch-0.48_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003367_heading309.75_pitch0.86_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003379_heading294.25_pitch-0.27_right90_square_fov90.0_640x640.jpg,0.40993115305900574,9
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003385_heading304.29_pitch0.04_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003411_heading303.24_pitch-0.88_right90_square_fov90.0_640x640.jpg,0.34943604469299316,4
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003461_heading268.78_pitch-0.17_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_003544_heading279.66_pitch-0.42_right90_square_fov90.0_640x640.jpg,0.32451876997947693,2
